"Website","Product Name","Price","Image URL","Specification 1","Specification 2","Specification 3","Specification 4","Specification 5","Specification 6","Specification 7","Specification 8","Specification 9","Specification 10","Specification 11","Specification 12","Specification 13","Specification 14","Specification 15","Specification 16","Specification 17","Specification 18","Specification 19","Specification 20","Specification 21","Specification 22","Specification 23","Specification 24","Specification 25","Specification 26","Specification 27","Specification 28","Specification 29","Specification 30","Specification 31","Specification 32","Specification 33","Specification 34","Specification 35","Specification 36","Specification 37","Specification 38","Specification 39","Specification 40","Specification 41","Specification 42","Specification 43","Specification 44","Specification 45","Specification 46","Specification 47","Specification 48","Specification 49","Specification 50","Specification 51","Specification 52","Specification 53","Specification 54","Specification 55","Specification 56","Specification 57","Specification 58","Specification 59","Specification 60","Specification 61","Specification 62","Specification 63","Specification 64","Specification 65","Specification 66","Specification 67","Specification 68","Specification 69","Specification 70","Specification 71","Specification 72","Specification 73","Specification 74","Specification 75","Specification 76","Specification 77","Specification 78","Specification 79","Specification 80","Specification 81","Specification 82","Specification 83","Specification 84","Specification 85","Specification 86","Specification 87","Specification 88","Specification 89","Specification 90","Specification 91","Specification 92","Specification 93","Specification 94","Specification 95","Specification 96","Specification 97","Specification 98","Specification 99","Specification 100","Specification 101","Specification 102","Specification 103","Specification 104","Specification 105","Specification 106","Specification 107","Specification 108","Specification 109","Specification 110","Specification 111","Specification 112","Specification 113","Specification 114","Specification 115"
"TEHNO MARKET","VIVAX COOL 12000BTU ACP-12CH35AERI+ SILVER","29999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/pn48pbinwiresqiuf9vjbt2wcmhxwl7ckn6mzhph.jpg","ЕНЕРГЕТСКА КЛАСА (SEER/SCOP):A+++ (8.5/4.6)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ:4308.00 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ:4381.00 W","ПРОСЕЧНА МОЌНОСТ:3517/3810 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ:977 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ:977 W","ПРОТОК НА ВОЗДУХ:584.00 m3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ:1.20 l/h","НИВО НА БУЧАВА:39.50 dB","РАБОТНА ТЕМПЕРАТУРА:ОД -25 ℃ ДО 50 ℃","МАСА ВНАТРЕШНА ЕДИНИЦА:8.60 kg","МАСА НАДВОРЕШНА ЕДИНИЦА:26.70 kg","ПРЕПОРАЧАНА ПОВРШИНА:до 35 м2","ФРЕОН:R32","ФИЛТРИ:Филтер за прашина","ДИМЕНЗИИ НАДВ. ЕДИНИЦА:765 X 555 X 303 mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","VIVAX COOL 12000BTU ACP-12CH35AERI+ GOLD","29999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/hvcvvvxejehpyes3fafqeq3huvwfnyuxecs98yeh.jpg","ЕНЕРГЕТСКА КЛАСА (SEER/SCOP):A+++ (8.5/4.6)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ:4308.00 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ:4381.00 W","ПРОСЕЧНА МОЌНОСТ:3517/3810 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ:977 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ:977 W","ПРОТОК НА ВОЗДУХ:584.00 m3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ:1.20 l/h","НИВО НА БУЧАВА:39.50 dB","РАБОТНА ТЕМПЕРАТУРА:ОД -25 ℃ ДО 50 ℃","МАСА ВНАТРЕШНА ЕДИНИЦА:8.60 kg","МАСА НАДВОРЕШНА ЕДИНИЦА:26.70 kg","ПРЕПОРАЧАНА ПОВРШИНА:до 35 м2","ФРЕОН:R32","ФИЛТРИ:Филтер за прашина","ДИМЕНЗИИ НАДВ. ЕДИНИЦА:765 X 555 X 303 mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","VIVAX COOL 12000BTU ACP-12CH35AERI+ RED","29999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/0q2yacxyq9wkv0kqyf6hl9ro4ojdgabrjtdy5uwr.jpg","ЕНЕРГЕТСКА КЛАСА (SEER/SCOP):A+++ (8.5/4.6)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ:4308.00 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ:4381.00 W","ПРОСЕЧНА МОЌНОСТ:3517/3810 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ:977 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ:977 W","ПРОТОК НА ВОЗДУХ:584.00 m3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ:1.20 l/h","НИВО НА БУЧАВА:39.50 dB","РАБОТНА ТЕМПЕРАТУРА:ОД -25 ℃ ДО 50 ℃","МАСА ВНАТРЕШНА ЕДИНИЦА:8.60 kg","МАСА НАДВОРЕШНА ЕДИНИЦА:26.70 kg","ПРЕПОРАЧАНА ПОВРШИНА:до 35 м2","ФРЕОН:R32","ФИЛТРИ:Филтер за прашина","ДИМЕНЗИИ НАДВ. ЕДИНИЦА:765 X 555 X 303 mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","TESLA TT51TP21-1832IA 18000BTU инвертер клима уред","31999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/tt51tp21-1832ia1.jpg","ЕНЕРГЕТСКА КЛАСА (SEER/SCOP):A++ (6.10/4.0)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ:5900.00 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ:6080.00 W","ПРОСЕЧНА МОЌНОСТ:5100/5130 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ:1574 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ:1382 W","ПРОТОК НА ВОЗДУХ:820.00 m3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ:1.50 l/h","НИВО НА БУЧАВА:54.00 dB","РАБОТНА ТЕМПЕРАТУРА:ОД -20 ℃ ДО 53 ℃","МАСА ВНАТРЕШНА ЕДИНИЦА:11.00 kg","МАСА НАДВОРЕШНА ЕДИНИЦА:35.00 kg","ПРЕПОРАЧАНА ПОВРШИНА:до 55 м2","ФРЕОН:R32","ФИЛТРИ:Филтер за прашина","ДИМЕНЗИИ НАДВ. ЕДИНИЦА:853 X 602 X 349 mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","GREE Charmo arctic Pro II 12000Btu K6DNA4A/I-K6DNA1A/O","30999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/charmoarcticpro2-.jpg","ЕНЕРГЕТСКА КЛАСА (SEER/SCOP):A++ (7.1/4.1)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ:4300.00 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ:4700.00 W","ПРОСЕЧНА МОЌНОСТ:3510/3810 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ:900 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ:900 W","ПРОТОК НА ВОЗДУХ:650.00 m3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ:-.00 l/h","НИВО НА БУЧАВА:43.00 dB","РАБОТНА ТЕМПЕРАТУРА:ОД -25 ℃ ДО 50 ℃","МАСА ВНАТРЕШНА ЕДИНИЦА:9.00 kg","МАСА НАДВОРЕШНА ЕДИНИЦА:25.50 kg","ПРЕПОРАЧАНА ПОВРШИНА:до 30 м2","ФРЕОН:R32","ФИЛТРИ:Филтер за прашина,Плазма филтер","ДИМЕНЗИИ НАДВ. ЕДИНИЦА:732 X 555 X 330 mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","NEO ADVANCE WIFI G12R32 -25 INVERTER 12000BTU","29999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/neoadvancesamlena.jpg","Модел: G12R32 ADVANCE","ПРЕПОРАЧАНА ПОВРШИНА 35 М2","ЕНЕРГЕТСКА КЛАСА (SEER/SKOP) A++(7.1/4.1)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ 4400 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ 4700 W","ПРОСЕЧНА МОЌНОСТ 3510/3810 W","ВЛЕЗНА МОЌНОСТ НА ЛАДЕЊЕ 962 W","ВЛЕЗНА МОЌНОСТ НА ГРЕЕЊЕ 953 W","ПРОТОК НА ВОЗДУХ 700 М3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ 1.40 Л/Ч","НИВО НА БУЧАВОСТ 42 ДБ","РАБОТНА ТЕМПЕРАТУРА -25 ДО 50 СТЕПЕНИ ЦЕЛЗИУСОВИ","МАСА НА ВНАТРЕШНА ЕДИНИЦА 11 КГ","МАСА НА НАДВОРЕШНА ЕДИНИЦА 24,5 КГ","ДИМИНЗИИ ВНАТРЕШНА ЕДИНИЦА 894×291×211","ДИМЕНЗИИ НАДВОРЕШНА ЕДИНИЦА 732×555×330","ФРЕОН R32","ФИЛТРИ- БИО ФИЛТЕР, ФИЛТЕР ЗА ПРАШИНА","WIFI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","FAVORIT 18000 BTU FF -15","30999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/favoritklima.jpg","Клима уред со фреон R32","Капацитет: 5200W за греење / 5100W за ладење","Енергетска класа: A++","Работна температура: од -15°С до 49°С","Проток воздух: 850m3","Гаранција: 5 години","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","TESLA TT51TP21-1832IAW 18000BTU WIFI","32999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/tt51tp21-1832iaw1.jpg","ЕНЕРГЕТСКА КЛАСА (SEER/SCOP):A++ (6.1/4.0)","МАКСИМАЛЕН КАПАЦИТЕТ НА ЛАДЕЊЕ:5900.00 W","МАКСИМАЛЕН КАПАЦИТЕТ НА ГРЕЕЊЕ:6080.00 W","ПРОСЕЧНА МОЌНОСТ:5100/5130 W","ВЛЕЗНА МОЌНОСТ ЛАДЕЊЕ:1574 W","ВЛЕЗНА МОЌНОСТ ГРЕЕЊЕ:1382 W","ПРОТОК НА ВОЗДУХ:820.00 m3","КАПАЦИТЕТ НА ОДВЛАЖНУВАЊЕ:1.50 l/h","НИВО НА БУЧАВА:54.00 dB","РАБОТНА ТЕМПЕРАТУРА:ОД -20 ℃ ДО 53 ℃","МАСА ВНАТРЕШНА ЕДИНИЦА:11 kg","МАСА НАДВОРЕШНА ЕДИНИЦА:35.00 kg","ПРЕПОРАЧАНА ПОВРШИНА:до 55 м2","ФРЕОН:R32","ФИЛТРИ:Филтер за прашина","ДИМЕНЗИИ ВНАТР. ЕДИНИЦА:920×306×195 mm","ДИМЕНЗИИ НАДВ. ЕДИНИЦА:853×602×349 mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред BEKO BEHPH 120 / BEHPH 121 INV","11995.00 ден.","https://www.neptun.mk/2021/08/05/33333_ee04e361-371e-4486-ba3c-a47da9ffbca0.JPG?width=192","Инвертер клима уред","Wifi:HomeWhiz Connection","Моќност:3.5kW- 12000 btu","Енергетска класа на ладење:А++","Енергетска класа на греење:А+","Циркулација на воздух 520/460/270 m³/h","7.1 (SEER)","4.1 (SCOP)","LED дисплеј","Auto-restart","Jet Cool / Jet Heat","Sleep mode","Gold guard - anticorrosive, improves defrost","Тајмер","Self Clean +","Fan Speed","Automatic Air Direction","Работна температура:од -15 до +30","Вклучен кит за монтажа","R32 еколошки фреон","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред FUEGO FGTC12INV-WMSE2 12000btu, 3.4kW, A++/A+","18999.00 ден.","https://www.neptun.mk/2025/05/07/SE2SE32_d9532cbc-8d8b-46ee-980e-bc7a39157ac0.png?width=192","Инвертер клима уред","Моќност: 3.4kW","Моќност ладење/греење: 3400/3420W","Енергетска класа на ладење: A++","Енергетска класа на греење: A+","Циркулација на воздух: до 570m³/h","Работна температура: Cooling:-15-53/Heating:-20-30°C","SEER: 6.1","EER: 3","SCOP: 4","COP: 3.4","Ниво на бучава (Внатрешна единица): 53dB","Годишна потрошувачка на енергија за греење: 770kWh/a","Годишна потрошувачка на енергија за ладење: 196kWh/a","Вклучен кит за монтажа","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред BEKO BEHPG 120/ BEHPG 121 No Kit 12000btu, 3.5kW, A++/A+","19995.00 ден.","https://www.neptun.mk/2024/12/04/sifra18_4120ebf3-4e8e-4de2-97aa-94301f1174e5.jpg?width=192","Инвертер клима уред","Моќност:3.5kW- 12000 btu","Енергетска класа на ладење:А++","Енергетска класа на греење:А+","Моќност ладење/греење: 3.5/2.5kw","Циркулација на воздух:575 m³/h","Работна температура: -15/50°C","6.1 (SEER)","4.0 (SCOP)","LCD дисплеј","Jet Cool","Jet Heat","Auto-Restart функција","Одвлажнување на воздухот","Автоматска контрола на температурата","Sleep Mode","Тајмер: до 24h","Wifi:HomeWhiz Connection","R32 еколошки фреон","Без кит за монтажа","Ниво на бучава (Внатрешна единица): 54dBA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред FUEGO FGTC12INV-WIFI-BWMSE6, 3.4/3.42KW, A++","19999.00 ден.","https://www.neptun.mk/2024/02/02/XA823-removebg-preview_0896820f-c7f5-4826-ac61-6fb71901c2fc.png?width=192","Инвертер клима уред","Капацитет: 12000 BTU","Енергетска класа: A++/A+","Капацитет на ладење 3.4 kW","Капацитет на греење 3.42 kW","6.1 (SEER)","4.0 (SCOP)","Еколошки фреон R32","Ауто рестарт","Работна температура: -20°C/+53°C","Проток на воздух: 550m³/h","Wi-Fi","LED дисплеј","Ниво на бучава: 50/60dB","Грејач на кондензатор","Вклучен кит за монтажа","*Можност за 5 годишна гаранција со доплата","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред FUEGO FGTC12INV-WIFI-WMSE3, 3.4/3.4KW","19999.00 ден.","https://www.neptun.mk/2023/09/25/F_25e77e25-2867-4bf1-9673-24a8975a13eb.jpg?width=192","Инвертер клима уред","Wifi подршка","Капацитет ладење/греење: 3400(1000~3770) / 3420(1000~3810)","Енергетска класа на ладење:А++","Енергетска класа на греење:А+","Циркулација на воздух 550m3/h","SEER: 6.1 SCOP: 4.0","Ниво на бучава","внатрешна:32~50dB","надворешна:60dB","Надворешна работна температура:","ладење:-15-53/греење:-20-30","Внатрешна работна температура:","ладење:17-32/грење:0-30","R32 еколошки фреон","Вграден Wi-Fi","Грејач на кондензатор","Вклучен кит за монтажа","*Можност за 5 годишна гаранција со доплата","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред HOOBART HBAX12INV-WMSE2 12000btu, 3.5kW, A++/A+","21999.00 ден.","https://www.neptun.mk/2025/03/21/1_2a89a709-72aa-4c0c-ad32-8ccc86ffa19d.png?width=192","Инвертер клима уред","Моќност: 3.5kW","Моќност ладење/греење: 3500/3800W","Енергетска класа на ладење: A++","Енергетска класа на греење: A+","Циркулација на воздух: до 600m³/h","Работна температура: ладење:-15 - 49/греење:-25 - 32°C","SEER: 6.1","SCOP: 4","Ниво на бучава (Внатрешна единица): 56dB","Годишна потрошувачка на енергија за греење: 943kWh/a","Годишна потрошувачка на енергија за ладење: 200kWh/a","WiFi: Не","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред FUEGO FGTC12INV-WIFI-WMSE3 12000btu, 3.4kW, A++/A+","21999.00 ден.","https://www.neptun.mk/2025/07/01/WMSE3.png?width=192","Инвертер клима уред","Моќност: 3.4kW","Моќност ладење/греење: 3400/3420W","Енергетска класа на ладење: A++","Енергетска класа на греење: A+","Циркулација на воздух: до 570m³/h","Работна температура: Cooling:-15-53/Heating:-20-30°C","SEER: 6.1","EER: 3","SCOP: 4","COP: 3.4","Ниво на бучава (Внатрешна единица): 53dB","Годишна потрошувачка на енергија за греење: 770kWh/a","Годишна потрошувачка на енергија за ладење: 196kWh/a","WiFi: Да","Вклучен кит за монтажа","Грејач на кондензатор","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред GRUNDIG GEEPDH 120/ GEEPDH 121, 3.8/4KW, А+++/A++, R32, Wifi","22995.00 ден.","https://www.neptun.mk/2023/08/15/Grundig01_7196311e-9c24-4c86-ae75-ef92da6f962c.JPG?width=192","Инвертер клима уред","Wifi:HomeDirect Connection","Капацитет на ладење:3.8kW / 12000 btu","Капацитет на греење:4kW / 13650 btu","Енергетска класа на ладење:А+++","Енергетска класа на греење:А++","Циркулација на воздух 600 m³/h","8.5 (SEER)","4.6 (SCOP)","LCD дисплеј","Auto-restart","Automatic Air Direction","Ниво на бучава: 52dB","Работна температура:од -20 до +52","R32 еколошки фреон","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред FUEGO FGTC12INV-WIFI-WMSE4,12000btu/h,A++/A+","22999.00 ден.","https://www.neptun.mk/2025/07/07/SE4_7f4d4a9b-cd2c-40fc-8d1e-919d8c626d2a.png?width=192","Инвертер клима уред","Моќност: 3.4kW","Моќност ладење/греење: 3400/3420W","Енергетска класа на ладење: A++","Енергетска класа на греење: A+","Циркулација на воздух: до 550m³/h","Работна температура: Cooling:-15-53/Heating:-20-30°C","SEER: 6.1","EER: 3","SCOP: 4","COP: 3.4","Ниво на бучава (Внатрешна единица): 53dB","Годишна потрошувачка на енергија за греење: 770kWh/a","Годишна потрошувачка на енергија за ладење: 196kWh/a","WiFi: Да","Вклучен кит за монтажа","Грејач на кондензатор","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред BEKO BEHPG 125/ BEHPG 126 12000btu, 3.5kW, A++/A+","23999.00 ден.","https://www.neptun.mk/2025/05/08/image-Photoroom49_c679562e-a1ee-4cd9-986e-e2a43d3d7333.png?width=192","Инвертер клима уред","Моќност ладење/греење:3500/3810W","Енергетска класа (ладење):А++","Енергетска класа (греење):А+","Ниво на бучава: до 56dBA","SEER:6.4","SCOP:4","Проток на воздух: 570m3/h","Одстранување на влажност:1.2L/h","5 режими на вентилатор","Jet Heat","Jet Cool","Тајмер до 24h","Defrost","ZoneFollow","HomeDirect","Вграден WiFi","Вклучен кит за монтажа","Димензии(ВxШxД):29.5x80.2x20cm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред HOOBART HBTC12INV-WIFI-WMSE5, 3.5kW, А++/A+","24999.00 ден.","https://www.neptun.mk/2023/08/07/91-removebg-preview_de30e5a5-b9b9-4ca5-b04b-6487e97a1449.png?width=192","Инвертер клима уред","Капацитет ладење/греење: 3.4kW, 3.43kW","Енергетска класа на ладење:А++","Енергетска класа на греење:А+","Циркулација на воздух 560m3/h","SEER:6.1, SCOP:4.0","Ниво на бучава: 32dB","Работна температура: -20/53","R32 еколошки фреон","Вграден Wi-Fi","Греач на кондензатор","Вклучен кит за монтажа","3D swing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред HOOBART HBAX12INV-WIFI-WMSE5 12000btu, 3.5kW, A++/A+","24999.00 ден.","https://www.neptun.mk/2025/05/13/1_945f3e3e-61a8-4246-9a99-7914aa45132a.png?width=192","Инвертер клима уред","Моќност: 3.5kW","Моќност ладење/греење: 3500/3800W","Енергетска класа на ладење: A++","Енергетска класа на греење: A+","Циркулација на воздух: до 600m³/h","Работна температура: ладење:-15 - 49/греење:-25 - 32°C","SEER: 6.19","SCOP: 4.03","Ниво на бучава (Внатрешна единица): 53dB","Годишна потрошувачка на енергија за греење: 938kWh/a","Годишна потрошувачка на енергија за ладење: 198kWh/a","WiFi: Да","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред BEKO BEVPMS 120/ BEVPMS 121 ,12000btu/h,A++/A+","24999.00 ден.","https://www.neptun.mk/2025/07/09/image-Photoroom474_5d2d4779-55b0-4502-ab0d-68e57006a3b8.png?width=192","Инвертер клима уред","Моќност: 3.5kW","Енергетска класа на ладење: A++","Енергетска класа на греење: A+","Циркулација на воздух: до 650m³/h","SEER: 7","SCOP: 4.1","Jet Cool","Jet Heat","Автоматско рестартирање","Автоматска контрола на температура","Sleep Mode","Тајмер до 24h","LED Дисплеј","Работна температура:-25~48°C","Defrost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред FUEGO FGTC12INV-WIFI-WMSE5 12000btu, 3.4kW, A++/A+","24999.00 ден.","https://www.neptun.mk/2025/04/09/SE5_692f3c4f-6107-4084-9908-905e43a460a3.png?width=192","Инвертер клима уред","Моќност: 3.4kW","Моќност ладење/греење: 3400/3430W","Енергетска класа на ладење: A++","Енергетска класа на греење: A+","Циркулација на воздух: до 560m³/h","Работна температура: Cooling:-15-53/Heating:-20-30°C","SEER: 6.1","EER: 3.24","SCOP: 4","COP: 3.71","Ниво на бучава (Внатрешна единица): 51dB","Годишна потрошувачка на енергија за греење: 840kWh/a","Годишна потрошувачка на енергија за ладење: 195kWh/a","WiFi: Да","Вклучен кит за монтажа","Грејач на кондензатор","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред BEKO BEHPGE 125/ BEHPGE 126 12000btu, 3.5kW, A++/A+","25999.00 ден.","https://www.neptun.mk/2025/03/07/BEHPGEiBEEPGEslika6bcac42c-7498-41e6-800c-5e8ce75fbe22_7e2913b3-99f4-4b7b-8bee-d2261b885806.jpg?width=192","Инвертер клима уред","Моќност:3.5kW- 12000 btu","Енергетска класа на ладење:А++","Енергетска класа на греење:А+","Моќност ладење/греење: 3.5/3.8kw","Циркулација на воздух:570 m3/h","Работна температура: -15/50°C","Два греачи на кондензатор и куќиште","6.4 (SEER)","4.1 (SCOP)","LED дисплеј","Jet Cool","Jet Heat","Auto-Restart функција","Отстранување на влага: 1.2 L/h","Автоматска контрола на температурата","Sleep Mode","Тајмер: до 24h","Wifi:HomeDirect Connection","R32 еколошки фреон","Вклучен кит за монтажа","Ниво на бучава (Внатрешна единица): 56dBA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Инвертер клима уред HISENSE DJ35LE0EG / DJ35LE0EW ,12000btu/h,A++/A+","26999.00 ден.","https://www.neptun.mk/2025/07/15/image-Photoroom704_541090b8-1b70-474f-84a8-774438cc7361.png?width=192","Инвертер клима уред","Моќност (ладење/греење):3500/4000W","Капацитет (ладење/греење):12000btu/h","Проток на воздух: до 600m3/h","Капацитет на одвлажнување:1.2 L/h","SEER:6.1","SCOP:5.1","Енергетска класа (ладење/греење):А++/А+","Работна температура:-20~50°C","Вграден WiFi - ConnectLife апликација","Функција за тивка работа","Ноќен режим","Тајмер","Smart Mode - функција за оптимална температура","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
